"HotFixID","Description","InstalledOn","InstalledBy"
"KB5055175","Update","4/10/2025 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4470502","Update","12/12/2018 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4470788","Security Update","12/12/2018 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4480056","Update","1/9/2019 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4486153","Update","3/11/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4493510","Security Update","4/21/2019 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4499728","Security Update","5/15/2019 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4504369","Security Update","6/12/2019 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4512577","Security Update","9/11/2019 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4512937","Security Update","9/6/2019 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4521862","Security Update","10/9/2019 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4523204","Security Update","11/13/2019 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4535680","Security Update","1/13/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4539571","Security Update","3/18/2020 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4549947","Security Update","4/15/2020 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4558997","Security Update","7/15/2020 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4562562","Security Update","6/10/2020 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4566424","Security Update","8/12/2020 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4570332","Security Update","9/9/2020 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4577667","Security Update","10/14/2020 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4587735","Security Update","11/11/2020 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4589208","Update","3/11/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4598480","Security Update","1/13/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB4601393","Security Update","2/10/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5000859","Security Update","3/11/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5001404","Security Update","4/14/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5003243","Security Update","5/13/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5003711","Security Update","6/9/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5005112","Security Update","8/11/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5055519","Security Update","4/10/2025 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5006754","Update","11/10/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5008287","Security Update","12/15/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5009642","Update","2/10/2022 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5011574","Update","4/13/2022 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5012675","Update","5/11/2022 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5014031","Update","6/15/2022 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5014797","Update","7/13/2022 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5015896","Update","8/10/2022 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5017400","Update","10/12/2022 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5020374","Security Update","11/10/2022 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5023789","Security Update","3/15/2023 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5028316","Security Update","7/12/2023 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5030505","Security Update","9/13/2023 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5031589","Security Update","10/11/2023 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5032306","Security Update","12/13/2023 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5034863","Security Update","2/14/2024 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5035963","Security Update","3/13/2024 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5037017","Security Update","4/10/2024 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5039335","Security Update","6/13/2024 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5040563","Security Update","7/10/2024 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5041577","Security Update","8/14/2024 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5043126","Security Update","9/11/2024 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5050110","Security Update","1/15/2025 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5054007","Security Update","3/12/2025 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5055662","Security Update","4/10/2025 12:00:00 AM","NT AUTHORITY\SYSTEM"
"KB5005701","Security Update","9/15/2021 12:00:00 AM","NT AUTHORITY\SYSTEM"
